Swab.162.2	Swab.162.3	Swab.162.4	Swab.162.5	Swab.162.6	Swab.162.7	Swab.162.8	Swab.162.9	Swab.162.11	Swab.162.12	Swab.162.13	Swab.162.14	Swab.162.15	Swab.162.16	Swab.162.17	Swab.162.18	Swab.162.19	Swab.162.20	Swab.162.21	Swab.162.22	Swab.162.23	Swab.162.24	Swab.162.25	Swab.162.26	Swab.162.27	Swab.162.28	Swab.162.29	Swab.162.30	Swab.162.31	Swab.162.32	Swab.162.33	Swab.162.34	Swab.162.35	Swab.162.36	Swab.162.37	Swab.162.38	Swab.162.39	Swab.162.40	Swab.162.41	Swab.162.42	Swab.162.43	Swab.162.44	Swab.162.45	Swab.162.46	Swab.162.47	Swab.162.48	Swab.162.49	Swab.162.50	Swab.162.51	Swab.162.52	Swab.162.53	Swab.162.54	Swab.162.55	Swab.162.56	Swab.162.57	Swab.162.58	Swab.162.59	Swab.162.60
Swab.162.2	0	0.79198137248087	0.759791540550883	0.816060566162616	0.820628712482404	0.80421886322181	0.849158879604307	0.889797672840376	0.857584096163079	0.881697941425364	0.858761045357604	0.826874720483215	0.873254228126779	0.917602933103702	0.841972766989139	0.80440656822025	0.834040018760474	0.844640882046537	0.892350761103739	0.876268400826224	0.827748303893953	0.789583455759273	0.841231962750695	0.839655153598461	0.838190995649482	0.809598459795418	0.813186867711894	0.830159519171991	0.804095205190823	0.815746465372217	0.884834050593583	0.804345245902024	0.84620444435768	0.852537935528861	0.844162188789095	0.854930315405991	0.840755811504699	0.885658015118485	0.836274266063024	0.854554145539319	0.831367640206758	0.868932651588752	0.903008114861427	0.851716908608616	0.85918699417361	0.823405557813226	0.7800428341626	0.825421253419666	0.894594733516505	0.796520319235071	0.906766779362007	0.789813457505766	0.880847591557847	0.852456870081194	0.77325985724488	0.794077926027755	0.772250436102208	0.819593974319409
Swab.162.3	0.79198137248087	0	0.77504859945566	0.828157326102313	0.781042981989511	0.789413752471597	0.853152063226158	0.906130392268966	0.878337797782739	0.905985033471552	0.878318213405418	0.823510863335074	0.882009219092688	0.923075037427208	0.856017209719819	0.821277117389554	0.832607393821476	0.874529038680242	0.903608240803002	0.881740981166227	0.824093387380097	0.802586023840158	0.847642771822136	0.836045779421268	0.837332809494369	0.798219225458196	0.795661759271134	0.81793940095203	0.820054193080831	0.807986955621472	0.895817780718504	0.814617585185135	0.852177260184406	0.855340694368403	0.868228410118224	0.885282004942202	0.865536426290403	0.900903489170841	0.84913291858648	0.873930056381696	0.87731169161606	0.880533135402287	0.90442690663325	0.868849833784899	0.876230494338614	0.842108483975227	0.800150634645104	0.869793653135274	0.915036078515252	0.812437454798247	0.932953346140044	0.795459816750472	0.899356372145954	0.896848400866212	0.810358691194154	0.786506275994904	0.818325792285554	0.834005122123655
Swab.162.4	0.759791540550883	0.77504859945566	0	0.826359696504735	0.800311284949682	0.807476172151916	0.868459305620835	0.888220258039834	0.855760675802805	0.883572663717618	0.874588861007899	0.814344846812173	0.869989644843536	0.919794363562537	0.845322349702738	0.807009435684815	0.835784801641381	0.852060969709041	0.890534080620471	0.883366050935799	0.823908356951584	0.804138927372333	0.854279265145428	0.847247785666357	0.841956979673093	0.800060901891661	0.810055553404672	0.835598602936923	0.816484290969285	0.814157541300467	0.8879297472153	0.811678077586819	0.847342658885624	0.869314278989076	0.854443151429278	0.859756480283042	0.848996631726406	0.887312901509262	0.849436677673758	0.869803326486337	0.848782800110398	0.875328441998926	0.906754081256753	0.876390696638273	0.852748485963307	0.824568378821352	0.780397488133069	0.836725022363599	0.883386791519712	0.787922367681048	0.911229659656347	0.796603044825334	0.886472224213064	0.863148125392783	0.796151649156604	0.7882498465461	0.80537716984062	0.813352710058235
Swab.162.5	0.816060566162616	0.828157326102313	0.826359696504735	0	0.798844865933077	0.789740428275566	0.822422561915342	0.835125686345357	0.84411997624964	0.889443088679625	0.870577270003947	0.818229605937153	0.868492155042755	0.91919617306311	0.833528072479323	0.813956762070815	0.827152507673194	0.864205875400666	0.883957108469852	0.870457519189589	0.819408910469525	0.818239954533838	0.800098014092083	0.796329838442223	0.784909943697471	0.801049424344421	0.787194468688564	0.822084828109989	0.768623503555708	0.790338984511975	0.880993370191344	0.801436987777116	0.836788033483535	0.852706254987661	0.857466474522699	0.856572248425904	0.834598437420862	0.881953158788871	0.831009149652437	0.844627036484176	0.860893119494673	0.849880976317445	0.88669209836512	0.853517515120905	0.855672515716227	0.828535708321412	0.792382568037715	0.862969795340105	0.905188750721081	0.81482906205162	0.918368480922493	0.838106611304735	0.897577941200103	0.890622213449797	0.848849476265986	0.839148580035767	0.834578348666437	0.848796736963555
Swab.162.6	0.820628712482404	0.781042981989511	0.800311284949682	0.798844865933077	0	0.792613405705992	0.855592656364947	0.874689090997565	0.874736949785506	0.895965058402978	0.889243323446255	0.79916868796836	0.877175884033428	0.925312986306894	0.841096058500248	0.797472473711483	0.83907955695426	0.874954220446932	0.908589028849842	0.883641202760374	0.80878284397544	0.792187366379453	0.811065991446488	0.812411921146133	0.826699022140344	0.783758328270896	0.785839186716818	0.804455831463234	0.810919402725869	0.799746749214491	0.889252230744416	0.780324121474087	0.844042823377116	0.861038633100271	0.855047544745518	0.865768613587769	0.842943459762613	0.886391635837212	0.826377324334738	0.867497129875675	0.861564577516446	0.856319945922417	0.887288080632504	0.875513031881698	0.853418477540649	0.81861266106012	0.801681708944146	0.865836932605297	0.917608994553794	0.800712723302634	0.923855864974716	0.813215696300363	0.911983118701218	0.885908423917251	0.839807371207369	0.80263297655612	0.816270038830713	0.847939820227775
Swab.162.7	0.80421886322181	0.789413752471597	0.807476172151916	0.789740428275566	0.792613405705992	0	0.840823663785806	0.87179486203921	0.860536168713531	0.908699337065239	0.889462176005715	0.795802881022638	0.888208321984541	0.924604661733038	0.837206802338795	0.806216749788579	0.827741832354498	0.878697384609165	0.906334238369041	0.888254454511316	0.791643070871855	0.789628856811759	0.802014257737341	0.80561367121747	0.802038334064248	0.785985753674821	0.766178081044181	0.792753180396818	0.791244128553289	0.786768738341532	0.897560495252613	0.772399823466195	0.832644063502677	0.846210249943252	0.863914980345571	0.856616928808105	0.84201550300205	0.879378783455819	0.815720503208817	0.854700297422474	0.864094918288339	0.862802356030625	0.894390671102595	0.856841418541834	0.851556819802639	0.815900077421737	0.787498064510486	0.85711230248235	0.909089688231606	0.793652199929397	0.923046772211423	0.812051290906191	0.900302572369656	0.892502699736243	0.829244449642264	0.802266117680919	0.809154269244892	0.843857221067171
Swab.162.8	0.849158879604307	0.853152063226158	0.868459305620835	0.822422561915342	0.855592656364947	0.840823663785806	0	0.839541823544304	0.871594396584641	0.909397777785682	0.882758568478379	0.859558068205175	0.885314796795032	0.920019752619532	0.86922038477631	0.840583848893485	0.862358707898384	0.870344265198007	0.902413923442614	0.897543284000521	0.850921694250675	0.840910643982683	0.833271418625418	0.851230188705687	0.824747615200622	0.851331524776599	0.859763305996871	0.868370287645909	0.817153325250797	0.845585276372887	0.898044610509786	0.856628843527077	0.869143233776069	0.87862555263735	0.881032388878541	0.874841172812307	0.87704447392395	0.89017630042376	0.870726066081775	0.871624546097039	0.8623544610795	0.8695985153769	0.895721082603367	0.868516721853872	0.87844244630112	0.8570303601889	0.83970283716526	0.882418478806915	0.912466940350462	0.871240667686819	0.926041935181118	0.877712505572775	0.908280392869436	0.901569171229046	0.880390445708401	0.867526713881923	0.853755663877842	0.868680614635859
Swab.162.9	0.889797672840376	0.906130392268966	0.888220258039834	0.835125686345357	0.874689090997565	0.87179486203921	0.839541823544304	0	0.89049003435721	0.914040226114074	0.898942392073209	0.89018299200505	0.886180054769248	0.900874183825699	0.885792260604464	0.877462555281382	0.890141492418192	0.879709953753483	0.89733963026323	0.893190854977526	0.891553157787743	0.878302461552615	0.839652536903188	0.836406749200931	0.806138183421993	0.887014656226228	0.886417018723882	0.874442306916181	0.842438929282381	0.867637489299408	0.893819486928325	0.875433336439164	0.883173760855448	0.893512803153838	0.902270006358883	0.887608058779505	0.870554336352885	0.890045642888643	0.882293191926806	0.890801070666304	0.871575165200905	0.887788694662733	0.899686661540369	0.895717502761643	0.889646778139955	0.884399044980115	0.881139016944123	0.899141180758635	0.920559596139368	0.88935936126464	0.919454043856532	0.894653072322774	0.92003646740878	0.908932314234095	0.900425853241676	0.897275872314365	0.88217341204427	0.898419266640177
Swab.162.11	0.857584096163079	0.878337797782739	0.855760675802805	0.84411997624964	0.874736949785506	0.860536168713531	0.871594396584641	0.89049003435721	0	0.844098003622732	0.824275836910327	0.859101833883779	0.806205003383854	0.858119131138613	0.805708242222057	0.840988332045805	0.830758644788277	0.804424174597094	0.846000005423162	0.808451969162386	0.853117486018057	0.834688987227875	0.8585201816151	0.890412367022188	0.86199064942989	0.866742764150229	0.86196919272607	0.874262990640311	0.856757032351687	0.868331057790903	0.848233075123389	0.871078489752371	0.836739577484759	0.821903000306576	0.845141527229536	0.82630625215514	0.846485981169731	0.859866783345093	0.839920915513295	0.830703009099124	0.815617808054536	0.846822356234399	0.864184368256125	0.80866597926441	0.824347783360791	0.837969406622793	0.84467440164859	0.867645729406143	0.885234107103833	0.870578940696909	0.909184422331352	0.890221927338998	0.873183247662881	0.865772991576734	0.884276228515532	0.870790485555662	0.823367841039379	0.86500658744661
Swab.162.12	0.881697941425364	0.905985033471552	0.883572663717618	0.889443088679625	0.895965058402978	0.908699337065239	0.909397777785682	0.914040226114074	0.844098003622732	0	0.858621527995969	0.889322942440012	0.798162676901973	0.877937082541227	0.858953770541298	0.859552989681061	0.85688233668208	0.845455743364964	0.852504024050532	0.842419597343313	0.886161796252658	0.879802276673252	0.911343066855498	0.924131171178936	0.903859343621578	0.891775273977127	0.899592080492183	0.900325186385506	0.897718256453059	0.891064679074879	0.870570110166938	0.899099788120472	0.855806805355981	0.878311858541899	0.897940524097873	0.870767847026752	0.861083324712813	0.869015431599308	0.880195029712455	0.86897886488183	0.865654002650904	0.869257228215183	0.877263192852058	0.854540418570957	0.862429370877708	0.866807857829516	0.89713259247433	0.906150386899598	0.918453274652989	0.908047050854502	0.925233357187678	0.909910685541972	0.910105722324204	0.887687019123276	0.904293386185214	0.902267345701274	0.879945030188687	0.898459329672211
Swab.162.13	0.858761045357604	0.878318213405418	0.874588861007899	0.870577270003947	0.889243323446255	0.889462176005715	0.882758568478379	0.898942392073209	0.824275836910327	0.858621527995969	0	0.877137197155804	0.817224545251344	0.833576860001317	0.828343284278097	0.847525603495112	0.848367622595065	0.824773493885081	0.835691119338011	0.818705257111378	0.860125940439913	0.857354628405072	0.885256960516263	0.888632815858187	0.886867285191765	0.878478820944702	0.873104305156844	0.896065539279581	0.869618995460354	0.883302829156667	0.851643295527816	0.889257708192176	0.844886664728598	0.834342852255855	0.842191130880294	0.827757307741776	0.853183087579003	0.862176276793425	0.844283911069581	0.820263058672695	0.831811342863467	0.849734737022092	0.847814698150827	0.820004240114413	0.831992047300813	0.842960191339443	0.865599580745663	0.887548906180645	0.894495959102326	0.889216187538301	0.904495274851043	0.884928060364645	0.887945245804684	0.868804757420138	0.890292276477049	0.883761756058072	0.871119593974671	0.875905382991449
Swab.162.14	0.826874720483215	0.823510863335074	0.814344846812173	0.818229605937153	0.79916868796836	0.795802881022638	0.859558068205175	0.89018299200505	0.859101833883779	0.889322942440012	0.877137197155804	0	0.878437549618472	0.928426734245656	0.828711173285751	0.814461356595483	0.827201915814489	0.855738310532917	0.885872993371089	0.880266231680666	0.80554208763132	0.795012389468807	0.814607861635087	0.847279552176127	0.833827920938904	0.795818850371692	0.790337714604477	0.814177980100618	0.817400578299878	0.820034056864235	0.899803290921267	0.791655399152389	0.833794743898361	0.838979898677708	0.848145059786857	0.841310941785086	0.821771597782791	0.884587475429453	0.812856801578713	0.872122818781626	0.854395287757165	0.865790875967642	0.893971698448739	0.865158575026995	0.842974056047141	0.81028749699753	0.812085957760245	0.883399290771555	0.918188123749925	0.835167845388729	0.932565629911626	0.845716174964762	0.906835736477165	0.885382019764158	0.846414944558888	0.824415048801702	0.841186078895671	0.850626790958265
Swab.162.15	0.873254228126779	0.882009219092688	0.869989644843536	0.868492155042755	0.877175884033428	0.888208321984541	0.885314796795032	0.886180054769248	0.806205003383854	0.798162676901973	0.817224545251344	0.878437549618472	0	0.856734428974006	0.820403712151745	0.86028010514454	0.846434901776792	0.800483693540902	0.837175997803479	0.807637591658462	0.876850195246009	0.856257333835186	0.881604864158518	0.89529293523133	0.885254801613978	0.870666791794448	0.896304546970714	0.891170785218855	0.862476408353868	0.883514856538837	0.831777845556506	0.889079001070069	0.855525300495816	0.844037127996898	0.85786038994251	0.842702096107779	0.850956370036915	0.853638057039362	0.852724800341954	0.828874767429264	0.835067909956805	0.857032325248233	0.857926908753253	0.830995059695309	0.83924096091877	0.85353041149788	0.869296996529426	0.87319757866077	0.900943616640437	0.889458517052695	0.902060026512408	0.879489160738421	0.88485094997411	0.872407993725473	0.877571971450528	0.89233378260694	0.858664687071278	0.87366825755217
Swab.162.16	0.917602933103702	0.923075037427208	0.919794363562537	0.91919617306311	0.925312986306894	0.924604661733038	0.920019752619532	0.900874183825699	0.858119131138613	0.877937082541227	0.833576860001317	0.928426734245656	0.856734428974006	0	0.887021963148481	0.913995583633505	0.895851557802696	0.849015881889633	0.828251836575279	0.843071520852764	0.925269836662702	0.917349881722883	0.918157213346865	0.940046898049013	0.914673246095992	0.936012114800507	0.931919461027739	0.931391993386362	0.921813523930141	0.933340111108694	0.87291517576636	0.921864403483407	0.914740885821405	0.877782314981931	0.912064062433599	0.871209452162265	0.892522503872633	0.888959089653904	0.911119848290185	0.865380558394041	0.882352406305802	0.890170051446601	0.895764588308206	0.881410868809424	0.867019770333298	0.908370781579321	0.911593610987425	0.908735091537962	0.889648590158591	0.935197319801077	0.893540434119147	0.926315995387518	0.893163942179521	0.904341543411318	0.920608955160777	0.924689465979642	0.904818326501379	0.926351421057831
Swab.162.17	0.841972766989139	0.856017209719819	0.845322349702738	0.833528072479323	0.841096058500248	0.837206802338795	0.86922038477631	0.885792260604464	0.805708242222057	0.858953770541298	0.828343284278097	0.828711173285751	0.820403712151745	0.887021963148481	0	0.824232384341898	0.813557200027438	0.803689027579186	0.857208328303448	0.826489701365486	0.841079918998737	0.827006865645225	0.856770503731585	0.870956430175743	0.864657990533806	0.852301000524806	0.827280396827464	0.834090716567826	0.837377255947188	0.838373378666624	0.86073328123817	0.84117887519832	0.800632603992431	0.799909725683162	0.831005385789115	0.817734281204919	0.801339191687278	0.865949564319601	0.811641968413134	0.830269784058903	0.825848728497099	0.836072939007724	0.858078276738917	0.820675582338063	0.814280034042278	0.790013222954846	0.830670511905026	0.84687699872795	0.886824429474462	0.851319193004037	0.891668090344071	0.852145857175957	0.872084799769976	0.859346087933299	0.852387226187509	0.855949778360494	0.828897381572737	0.850501829009918
Swab.162.18	0.80440656822025	0.821277117389554	0.807009435684815	0.813956762070815	0.797472473711483	0.806216749788579	0.840583848893485	0.877462555281382	0.840988332045805	0.859552989681061	0.847525603495112	0.814461356595483	0.86028010514454	0.913995583633505	0.824232384341898	0	0.825972955675104	0.830963503674193	0.867329233300896	0.862551336342657	0.805944216054541	0.795571257341315	0.82721799732145	0.846023582009269	0.843030353218659	0.795256495227795	0.808209367778426	0.833031168311249	0.813173251772951	0.822398684445212	0.882091235113915	0.815506852531	0.831057287951757	0.833168012431889	0.841016384466497	0.846632436605002	0.809689045981301	0.877247963263801	0.827297420950028	0.853587704410932	0.834215133847702	0.847939689407914	0.878970082047044	0.838441162688531	0.826105872889405	0.797983774996912	0.801033964699877	0.853417861653776	0.904006322885315	0.823562184535196	0.916181925520968	0.829703059666497	0.883797152446704	0.871959834704023	0.83992190514398	0.81103544550684	0.818658757703565	0.831683605459805
