CAP1	CAP2	taxa	indic	kingdom	phylum	class	order	family	genus	pos	species	surface	chair.ra	desk.ra	wall.ra	floor.ra
New.ReferenceOTU206	0.352475945774751	0.379842253609946	Lactobacillus	0.003	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	1	-	chair	0.0074515306122449	0.000261111111111111	0.000366666666666667	0.000201530612244898
New.ReferenceOTU170	0.377337818018959	0.00662629102047245	Streptococcus	0.004	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	1	-	chair	0.00116454081632653	0.00345555555555556	0.00021	0.000141581632653061
New.ReferenceOTU100	0.245535159612471	0.217862788755901	Corynebacterium	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	1	-	chair	0.00501530612244898	0.00106555555555556	0.000785555555555556	0.000696428571428571
New.ReferenceOTU96	0.273994991612007	0.134492002196799	Staphylococcus	0.009	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	1	NA	chair	0.00342602040816327	0.00216888888888889	0.000701111111111111	0.000785714285714286
New.ReferenceOTU83	0.232632749892078	0.154116364859823	Corynebacterium	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	1	-	chair	0.00421683673469388	0.00128888888888889	0.000857777777777778	0.000613520408163265
New.ReferenceOTU55	0.212325283533016	0.166055236427113	Corynebacterium	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	1	-	chair	0.00391964285714286	0.000796666666666667	0.000523333333333333	0.000336734693877551
New.ReferenceOTU140	0.0738969828118755	0.0742552469201794	Lactobacillus	0.001	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	1	iners	chair	0.00142474489795918	0.000125555555555556	6.11111111111111e-05	5.48469387755102e-05
New.ReferenceOTU154	0.0799341705572417	0.0555188830538555	Sphingomonas	0.042	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	1	-	chair	0.0017844387755102	0.00250444444444444	0.00132111111111111	0.00202040816326531
New.ReferenceOTU57	0.0804251736223621	0.0112030322556697	Actinomyces	0.011	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	1	-	chair	0.000480867346938776	0.000681111111111111	9.44444444444444e-05	6.50510204081633e-05
New.ReferenceOTU133	0.0490598458095137	0.0455700737699266	NA	0.02	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	1	NA	chair	0.00167602040816327	0.000568888888888889	0.000661111111111111	0.000590561224489796
New.ReferenceOTU11	0.525561849490723	-0.0710008871255572	Streptococcus	0.001	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	1	-	desk	0.000677295918367347	0.00531333333333333	0.000428888888888889	0.000159438775510204
New.ReferenceOTU5	0.375259865925992	-0.0974996592284732	NA	0.004	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	NA	1	NA	desk	0.000637755102040816	0.00472888888888889	0.00103777777777778	0.000784438775510204
New.ReferenceOTU185	0.0206037319943572	-0.290122743697773	Acinetobacter	0.001	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	1	-	desk	0.000917091836734694	0.00125444444444444	0.00252444444444444	0.000174744897959184
